0.118,0.028,0.987,-0.237,0.603,0.206,263137
0.112,0.034,1.014,1.007,-3.777,0.267,263147
0.118,0.027,1.019,-0.534,2.121,0.130,263157
0.127,0.030,0.985,-0.633,1.961,0.168,263168
0.113,0.038,1.007,1.007,-3.960,0.198,263176
0.119,0.034,1.025,-0.206,0.595,0.107,263186
0.121,0.030,0.992,-0.984,3.426,0.168,263196
0.113,0.034,0.995,0.702,-3.273,0.191,263206
0.122,0.026,1.026,0.175,-1.228,0.069,263217
0.127,0.021,0.998,-1.030,3.883,0.175,263227
0.108,0.029,0.993,0.648,-1.831,0.320,263237
0.106,0.029,1.021,0.687,-2.106,0.244,263247
0.126,0.028,1.005,-0.854,3.395,0.069,263256
0.118,0.038,0.989,0.313,-0.969,0.259,263266
0.116,0.042,1.020,0.793,-3.090,0.275,263276
0.122,0.031,1.011,-0.847,3.326,0.183,263286
0.123,0.031,0.984,-0.496,0.771,0.092,263297
0.114,0.033,1.015,0.877,-4.044,0.130,263307
0.122,0.021,1.022,-0.542,2.083,0.084,263317
0.115,0.022,0.987,-0.549,2.480,0.206,263327
0.107,0.029,1.003,1.038,-3.899,0.267,263337
0.121,0.029,1.024,0.069,0.023,0.145,263346
0.127,0.031,0.995,-0.786,3.212,0.191,263356
0.113,0.043,0.999,0.778,-2.884,0.175,263366
0.116,0.035,1.021,0.229,-0.847,0.191,263376
0.122,0.029,0.998,-1.060,3.395,0.046,263387
0.110,0.032,0.995,0.420,-1.930,0.183,263397
0.115,0.032,1.022,0.511,-2.197,0.175,263407
0.119,0.021,1.005,-0.847,3.654,0.252,263417
0.119,0.028,0.987,0.114,-0.656,0.237,263426
0.114,0.034,1.022,0.961,-3.677,0.198,263436
0.121,0.028,1.016,-0.725,3.159,0.183,263446
0.116,0.035,0.984,-0.366,1.389,0.282,263456
0.113,0.037,1.009,1.083,-4.257,0.237,263467
0.128,0.032,1.024,-0.534,1.312,0.092,263477
0.124,0.031,0.991,-0.702,2.586,0.160,263487
