0.007,1.011,0.038,-0.160,0.160,3326339
-0.017,-0.007,1.010,0.099,-0.267,0.183,3328020
-0.017,-0.008,1.011,0.061,-0.122,0.183,3328026
-0.017,-0.008,1.011,0.061,-0.122,0.183,3328032
-0.016,-0.007,1.012,0.130,-0.168,0.206,3328038
-0.016,-0.006,1.013,0.069,-0.160,0.206,3328047
-0.016,-0.006,1.013,0.069,-0.160,0.206,3328053
-0.017,-0.006,1.011,0.206,-0.145,0.221,3328059
-0.017,-0.006,1.011,0.206,-0.145,0.221,3328065
-0.018,-0.006,1.012,0.046,-0.092,0.153,3328071
-0.017,-0.006,1.011,0.069,-0.153,0.137,3328077
-0.017,-0.006,1.011,0.069,-0.153,0.137,3328083
-0.018,-0.006,1.014,0.099,-0.122,0.160,3328092
-0.018,-0.008,1.011,0.046,-0.221,0.229,3328098
-0.018,-0.008,1.011,0.046,-0.221,0.229,3328104
-0.018,-0.009,1.012,0.084,-0.183,0.221,3328110
-0.017,-0.009,1.011,0.122,-0.168,0.168,3328116
-0.017,-0.009,1.011,0.122,-0.168,0.168,3328122
-0.016,-0.007,1.012,0.023,-0.099,0.168,3328129
-0.017,-0.008,1.010,0.084,-0.168,0.206,3328135
-0.017,-0.008,1.010,0.084,-0.168,0.206,3328143
-0.017,-0.007,1.013,0.107,-0.137,0.206,3328149
-0.017,-0.007,1.013,0.107,-0.137,0.206,3328155
-0.016,-0.005,1.011,0.099,-0.122,0.191,3328161
-0.017,-0.005,1.013,0.114,-0.084,0.168,3328167
-0.017,-0.005,1.013,0.114,-0.084,0.168,3328174
-0.018,-0.007,1.011,0.076,-0.153,0.198,3328180
-0.017,-0.007,1.012,0.046,-0.175,0.168,3328186
-0.017,-0.007,1.012,0.046,-0.175,0.168,3328194
-0.017,-0.009,1.012,0.137,-0.160,0.160,3328200
-0.017,-0.009,1.012,0.053,-0.137,0.206,3328206
-0.017,-0.009,1.012,0.053,-0.137,0.206,3328212
-0.017,-0.008,1.011,0.114,-0.168,0.153,3328219
-0.017,-0.008,1.011,0.137,-0.153,0.198,3328225
-0.017,-0.008,1.011,0.137,-0.153,0.198,3328231
-0.017,-0.006,1.011,0.061,-0.175,0.175,3328239
-0.017,-0.007,1.012,0.137,-0.168,0.160,3328245
-0.017,-0.007,1.012,0.137,-0.168,0.160,3328251
-0.017,-0.006,1.012,0.092,-0.145,0.153,3328258
-0.017,-0.006,1.012,0.092,-0.145,0.153,3328264
-0.018,-0.006,1.012,0.099,-0.191,0.237,3328270
-0.019,-0.007,1.011,0.122,-0.130,0.214,3328276
-0.019,-0.007,1.011,0.122,-0.130,0.214,3328284
-0.017,-0.009,1.011,0.076,-0.175,0.153,3328290
-0.017,-0.010,1.012,0.107,-0.137,0.206,3328296
-0.017,-0.010,1.012,0.107,-0.137,0.206,3328303
-0.018,-0.010,1.012,0.130,-0.114,0.198,3328309
-0.017,-0.007,1.011,0.053,-0.168,0.237,3328315
-0.017,-0.007,1.011,0.053,-0.168,0.237,3328321
-0.015,-0.005,1.013,0.137,-0.130,0.175,3328327
-0.018,-0.006,1.012,0.122,-0.244,0.221,3328335
-0.018,-0.006,1.012,0.122,-0.244,0.221,3328342
-0.016,-0.003,1.010,0.122,0.038,0.153,3328348
-0.016,-0.003,1.010,0.122,0.038,0.153,3328354
-0.016,-0.001,1.008,-0.038,-0.336,0.168,3328360
-0.018,-0.007,1.012,0.038,0.084,0.183,3328366
-0.018,-0.007,1.012,0.038,0.084,0.183,3328372
-0.021,-0.011,1.015,0.046,-0.397,0.221,3328378
-0.020,-0.011,1.009,0.198,0.000,0.221,3328387
-0.020,-0.011,1.009,0.198,0.000,0.221,3328393
-0.019,-0.008,1.016,0.191,-0.130,0.206,3328399
-0.015,-0.009,1.006,-0.092,-0.397,0.145,3328405
-0.015,-0.009,1.006,-0.092,-0.397,0.145,3328411
-0.014,-0.010,1.013,0.206,0.053,0.145,3328417
-0.016,-0.009,1.015,-0.053,-0.366,0.214,3328423
-0.016,-0.009,1.015,-0.053,-0.366,0.214,3328430
-0.016,-0.005,1.011,0.191,-0.076,0.252,3328438
-0.016,-0.005,1.011,0.191,-0.076,0.252,3328444
-0.019,0.002,1.015,0.229,-0.092,0.237,3328450
-0.019,0.004,1.007,0.023,-0.175,0.214,3328456
-0.019,0.004,1.007,0.023,-0.175,0.214,3328462
-0.018,0.001,1.010,-0.008,-0.298,0.076,3328468
-0.016,-0.004,1.014,0.084,-0.061,0.084,3328475
-0.016,-0.004,1.014,0.084,-0.061,0.084,3328481
-0.014,-0.013,1.015,-0.206,-0.305,0.061,3328489
-0.015,-0.019,1.011,0.244,0.069,0.114,3328495
-0.015,-0.019,1.011,0.244,0.069,0.114,3328501
-0.018,-0.018,1.015,0.130,-0.145,0.214,3328507
-0.018,-0.015,1.005,0.069,-0.244,0.313,3328514
-0.018,-0.015,1.005,0.069,-0.244,0.313,3328520
-0.022,-0.006,1.015,0.282,0.114,0.244,3328526
-0.019,-0.002,1.011,-0.076,-0.504,0.198,3328534
-0.019,-0.002,1.011,-0.076,-0.504,0.198,3328540
-0.018,-0.002,1.011,0.137,0.191,0.183,3328546
-0.018,-0.002,1.011,0.137,0.191,0.183,3328552
-0.018,-0.004,1.015,0.038,-0.313,0.130,3328559
-0.013,-0.008,1.005,0.061,-0.183,0.214,3328565
-0.013,-0.008,1.005,0.061,-0.183,0.214,3328571
-0.015,-0.012,1.017,0.099,-0.114,0.229,3328577
-0.014,-0.010,1.008,0.031,-0.305,0.320,3328585
-0.014,-0.010,1.008,0.031,-0.305,0.320,3328591
-0.020,-0.010,1.016,0.107,0.008,0.305,3328598
-0.019,-0.006,1.012,0.122,-0.252,0.183,3328604
-0.019,-0.006,1.012,0.122,-0.252,0.183,3328610
-0.018,-0.006,1.009,0.023,-0.031,0.153,3328616
-0.017,-0.003,1.012,0.183,-0.320,0.122,3328622
-0.017,-0.003,1.012,0.183,-0.320,0.122,3328628
-0.016,-0.003,1.010,0.008,0.008,0.114,3328636
-0.016,-0.003,1.010,0.008,0.008,0.114,3328643
-0.017,-0.003,1.016,0.092,-0.244,0.259,3328649
-0.018,-0.003,1.010,0.275,-0.153,0.214,3328655
-0.018,-0.003,1.010,0.275,-0.153,0.214,3328661
-0.020,-0.003,1.012,-0.023,0.061,0.221,3328667
-0.019,-0.009,1.012,0.046,-0.473,0.183,3328673
-0.019,-0.009,1.012,0.046,-0.473,0.183,3328679
-0.017,-0.012,1.012,0.221,-0.061,0.145,3328688
-0.015,-0.015,1.018,0.076,-0.053,0.084,3328694
-0.015,-0.015,1.018,0.076,-0.053,0.084,3328700
-0.011,-0.013,1.005,0.229,-0.259,0.168,3328706
-0.012,-0.010,1.007,0.053,-0.069,0.252,3328712
-0.012,-0.010,1.007,0.053,-0.069,0.252,3328718
-0.017,-0.002,1.017,0.122,-0.259,0.252,3328724
-0.017,-0.002,1.017,0.122,-0.259,0.252,3328733
-0.021,0.006,1.016,0.130,-0.107,0.221,3328739
-0.025,0.007,1.012,0.237,-0.038,0.206,3328745
-0.025,0.007,1.012,0.237,-0.038,0.206,3328751
-0.025,0.003,1.008,0.130,-0.084,0.015,3328757
-0.019,-0.007,1.005,-0.046,-0.305,0.061,3328763
-0.019,-0.007,1.005,-0.046,-0.305,0.061,3328770
-0.014,-0.018,1.015,-0.084,-0.267,0.061,3328776
-0.010,-0.025,1.017,0.069,-0.221,0.130,3328784
-0.010,-0.025,1.017,0.069,-0.221,0.130,3328790
-0.010,-0.023,1.013,0.130,0.000,0.244,3328796
-0.011,-0.013,1.011,0.397,-0.153,0.298,3328802
-0.011,-0.013,1.011,0.397,-0.153,0.298,3328808
